force;displacement;velocity;current;frequency
-0.254413188;24.32503319;-48.54028934;0;1
-0.252789587;24.28538322;-49.4779802;0;1
-0.251858205;24.24445724;-50.41371775;0;1
-0.254655391;24.20182991;-51.34746505;0;1
-0.25736919;24.15769386;-52.27918524;0;1
-0.258377999;24.11346054;-53.20884154;0;1
-0.259039015;24.06813622;-54.13639724;0;1
-0.257708013;24.02129936;-55.06181574;0;1
-0.256446213;23.97366333;-55.98506048;0;1
-0.25687021;23.92521286;-56.90609503;0;1
-0.2584382;23.87529755;-57.82488303;0;1
-0.26063019;23.8252449;-58.7413882;0;1
-0.26131621;23.7739296;-59.65557435;0;1
-0.260217607;23.72225571;-60.56740541;0;1
-0.259364188;23.66967964;-61.47684537;0;1
-0.260427803;23.61579704;-62.38385833;0;1
-0.261260986;23.56070137;-63.28840848;0;1
-0.264071614;23.50535774;-64.19046012;0;1
-0.266937196;23.44958878;-65.08997762;0;1
-0.268942386;23.39206314;-65.98692548;0;1
-0.270460188;23.33439827;-66.88126829;0;1
-0.270963192;23.27606964;-67.77297075;0;1
-0.272871196;23.2162323;-68.66199764;0;1
-0.275176197;23.15524864;-69.54831387;0;1
-0.278900415;23.09383011;-70.43188446;0;1
-0.28172341;23.03212929;-71.31267451;0;1
-0.28237161;22.96948433;-72.19064927;0;1
-0.281277597;22.9062233;-73.06577405;0;1
-0.281693399;22.84156418;-73.93801433;0;1
-0.28801319;22.77606201;-74.80733566;0;1
-0.295016587;22.70978165;-75.67370373;0;1
-0.305238992;22.64279938;-76.53708432;0;1
-0.316251189;22.57480049;-77.39744336;0;1
-0.327353001;22.50665092;-78.25474689;0;1
-0.334952801;22.43712425;-79.10896105;0;1
-0.340321004;22.36655998;-79.96005212;0;1
-0.343811393;22.29543114;-80.80798651;0;1
-0.348871201;22.22323418;-81.65273074;0;1
-0.3542822;22.1508522;-82.49425145;0;1
-0.363874793;22.07775879;-83.33251543;0;1
-0.381541997;22.00307846;-84.16748959;0;1
-0.404753208;21.92866325;-84.99914096;0;1
-0.429021806;21.85303307;-85.82743671;0;1
-0.455735803;21.77618408;-86.65234414;0;1
-0.487679988;21.6987114;-87.47383068;0;1
-0.521284223;21.61996078;-88.2918639;0;1
-0.550499797;21.54140282;-89.10641152;0;1
-0.573331773;21.46230125;-89.91744136;0;1
-0.592555225;21.38148499;-90.72492142;0;1
-0.606669605;21.30022621;-91.52881981;0;1
-0.613671601;21.21779251;-92.3291048;0;1
-0.615551412;21.13445282;-93.12574479;0;1
-0.61593461;21.05057716;-93.91870834;0;1
-0.615723014;20.96539879;-94.70796414;0;1
-0.616919816;20.87864494;-95.49348103;0;1
-0.621203601;20.79179764;-96.275228;0;1
-0.623635411;20.70446396;-97.05317419;0;1
-0.625843823;20.61625671;-97.82728889;0;1
-0.629505813;20.527668;-98.59754153;0;1
-0.633826375;20.43775368;-99.36390171;0;1
-0.636927009;20.34735298;-100.1263392;0;1
-0.640844405;20.25625801;-100.8848238;0;1
-0.647562623;20.16507721;-101.6393257;0;1
-0.659071624;20.0722065;-102.389815;0;1
-0.674904585;19.97825623;-103.1362622;0;1
-0.6926862;19.883358;-103.8786377;0;1
-0.706143379;19.78805733;-104.6169123;0;1
-0.717697203;19.69246101;-105.3510568;0;1
-0.729942203;19.59495735;-106.0810422;0;1
-0.743168414;19.49693108;-106.8068397;0;1
-0.755954802;19.39891434;-107.5284206;0;1
-0.766138792;19.29907227;-108.2457565;0;1
-0.776082218;19.19795418;-108.958819;0;1
-0.785906792;19.09687424;-109.6675801;0;1
-0.794808388;18.99456406;-110.3720116;0;1
-0.80159682;18.89159012;-111.0720859;0;1
-0.808306575;18.78877831;-111.7677752;0;1
-0.815441608;18.68374443;-112.4590521;0;1
-0.822729826;18.57810211;-113.1458893;0;1
-0.830390215;18.4719696;-113.8282598;0;1
-0.837149382;18.3641758;-114.5061364;0;1
-0.842230797;18.25645447;-115.1794926;0;1
-0.845015228;18.14821053;-115.8483017;0;1
-0.848531187;18.03844643;-116.5125372;0;1
-0.85170579;17.92861938;-117.1721731;0;1
-0.856329978;17.81781006;-117.8271832;0;1
-0.861444771;17.7062664;-118.4775417;0;1
-0.866208971;17.59427261;-119.1232229;0;1
-0.87215662;17.48067474;-119.7642013;0;1
-0.878124416;17.36673737;-120.4004517;0;1
-0.883456409;17.25216293;-121.0319488;0;1
-0.888557971;17.13710785;-121.6586678;0;1
-0.894702375;17.02109337;-122.2805839;0;1
-0.899815619;16.90533829;-122.8976726;0;1
-0.904246211;16.78832817;-123.5099095;0;1
-0.909958005;16.67077637;-124.1172705;0;1
-0.915629029;16.55270004;-124.7197315;0;1
-0.920742571;16.43398094;-125.3172687;0;1
-0.925553977;16.31495285;-125.9098587;0;1
-0.930267811;16.19499207;-126.497478;0;1
-0.935482025;16.07419586;-127.0801033;0;1
-0.94031179;15.95357609;-127.6577118;0;1
-0.945397198;15.83188438;-128.2302805;0;1
-0.950846374;15.71011543;-128.797787;0;1
-0.956731617;15.58768272;-129.3602087;0;1
-0.961981773;15.46405792;-129.9175235;0;1
-0.966379404;15.34019089;-130.4697093;0;1
-0.971290827;15.21623707;-131.0167445;0;1
-0.977270603;15.09108639;-131.5586073;0;1
-0.981625378;14.96482182;-132.0952765;0;1
-0.987407982;14.83814144;-132.6267307;0;1
-0.992827773;14.7110014;-133.1529491;0;1
-0.997053802;14.5834589;-133.6739108;0;1
-1.001466036;14.45481873;-134.1895952;0;1
-1.0059762;14.32634449;-134.6999822;0;1
-1.011212587;14.19678688;-135.2050513;0;1
-1.015048385;14.06697845;-135.7047829;0;1
-1.019409418;13.93656921;-136.199157;0;1
-1.023987412;13.80600643;-136.6881542;0;1
-1.029311657;13.67562675;-137.1717552;0;1
-1.032830238;13.54372311;-137.6499409;0;1
-1.038149953;13.41135788;-138.1226924;0;1
-1.043559194;13.27900791;-138.5899911;0;1
-1.047745943;13.1454134;-139.0518184;0;1
-1.051599026;13.01102829;-139.5081563;0;1
-1.056823969;12.87610626;-139.9589866;0;1
-1.06050539;12.74179268;-140.4042915;0;1
-1.064876437;12.60643768;-140.8440536;0;1
-1.069736362;12.47009754;-141.2782553;0;1
-1.07356441;12.33321953;-141.7068796;0;1
-1.078833818;12.19617271;-142.1299096;0;1
-1.08310163;12.05815315;-142.5473286;0;1
-1.087073565;11.91982174;-142.95912;0;1
-1.091373444;11.78057003;-143.3652676;0;1
-1.09465766;11.64121151;-143.7657554;0;1
-1.098515391;11.50127411;-144.1605676;0;1
-1.101804852;11.36124992;-144.5496886;0;1
-1.104013801;11.22114468;-144.933103;0;1
-1.107177377;11.07950592;-145.3107956;0;1
-1.109534025;10.93818092;-145.6827517;0;1
-1.113379955;10.79723358;-146.0489565;0;1
-1.116439819;10.65512276;-146.4093955;0;1
-1.119055033;10.51269913;-146.7640545;0;1
-1.121325612;10.36990738;-147.1129195;0;1
-1.124738574;10.22668171;-147.4559767;0;1
-1.128719807;10.08244038;-147.7932126;0;1
-1.131819963;9.9377985;-148.124614;0;1
-1.135884643;9.791939735;-148.4501676;0;1
-1.138715744;9.64635849;-148.7698606;0;1
-1.142245412;9.500279427;-149.0836805;0;1
-1.145000577;9.353237152;-149.3916148;0;1
-1.148367405;9.206190109;-149.6936513;0;1
-1.151243806;9.05838871;-149.9897782;0;1
-1.153720617;8.910720825;-150.2799838;0;1
-1.155384421;8.762744904;-150.5642566;0;1
-1.157845259;8.614522934;-150.8425854;0;1
-1.160351753;8.466071129;-151.1149591;0;1
-1.163031459;8.317167282;-151.3813671;0;1
-1.165851831;8.168085098;-151.6417988;0;1
-1.170257807;8.018486023;-151.896244;0;1
